Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","277","South Sudan","2011","2011","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","127.264","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2012","2012","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","160.3757355069","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","144.138","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2014","2014","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","154.134","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2015","2015","23013","Consumer Prices, Food Indices (2010 = 100)","7012","December","","354.556","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2008","2008","23012","Consumer Prices, General Indices (2010 = 100)","7001","January","","95.6870092571","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2010"
"CP","Consumer Price Indices","277","South Sudan","2009","2009","23012","Consumer Prices, General Indices (2010 = 100)","7001","January","","101.6749271905","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2010"
"CP","Consumer Price Indices","277","South Sudan","2010","2010","23012","Consumer Prices, General Indices (2010 = 100)","7001","January","","100.5131124376","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2010"
"CP","Consumer Price Indices","277","South Sudan","2011","2011","23012","Consumer Prices, General Indices (2010 = 100)","7001","January","","123.3217951203","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2010"
"CP","Consumer Price Indices","277","South Sudan","2012","2012","23012","Consumer Prices, General Indices (2010 = 100)","7001","January","","182.2865832135","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2010"
"CP","Consumer Price Indices","277","South Sudan","2013","2013","23012","Consumer Prices, General Indices (2010 = 100)","7001","January","","246.5494617306","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2010"
"CP","Consumer Price Indices","277","South Sudan","2014","2014","23012","Consumer Prices, General Indices (2010 = 100)","7001","January","","224.3351333543","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2010"
